WorldX,WorldZ,AnalyticGrad,FDGrad,AnalyticHess,FDHess
-0.25,-0.25,-0.409545,-0.402331,11.3524,15.0874
-0.244949,-0.25,-0.433977,-0.426903,12.0434,14.6776
-0.239899,-0.25,-0.410792,-0.405788,8.46731,10.6543
-0.234848,-0.25,-0.398277,-0.39193,11.531,13.4855
-0.229798,-0.25,-0.457277,-0.451088,11.2139,12.7852
-0.224747,-0.25,-0.424542,-0.418022,12.4457,13.9177
-0.219697,-0.25,-0.430675,-0.424847,11.1008,12.1295
-0.214646,-0.25,-0.43667,-0.430196,12.5398,13.8953
-0.209596,-0.25,-0.463739,-0.457644,11.9094,12.9566
-0.204545,-0.25,-0.467362,-0.460744,13.4365,13.9102
-0.199495,-0.25,-0.50274,-0.497043,11.2417,12.137
-0.194444,-0.25,-0.493524,-0.487626,11.9343,12.6213
-0.189394,-0.25,-0.544982,-0.538863,11.5109,12.8299
-0.184343,-0.25,-0.568057,-0.561789,12.5211,13.1428
-0.179293,-0.25,-0.602013,-0.595242,13.1569,14.3498
-0.174242,-0.25,-0.701303,-0.69502,12.4001,13.2695
-0.169192,-0.25,-0.720826,-0.714317,12.9481,13.8804
-0.164141,-0.25,-0.783388,-0.777289,12.1003,13.1279
-0.159091,-0.25,-0.819071,-0.812106,13.7364,14.8937
-0.15404,-0.25,-0.84795,-0.840269,15.0666,16.2795
-0.14899,-0.25,-0.860659,-0.854768,11.6095,12.4797
-0.143939,-0.25,-0.881873,-0.875317,13.3625,13.9698
-0.138889,-0.25,-0.921828,-0.916116,11.5854,12.3307
-0.133838,-0.25,-0.909947,-0.903226,13.4635,14.5212
-0.128788,-0.25,-0.978486,-0.971794,13.1721,14.2083
-0.123737,-0.25,-0.980483,-0.973917,13.1287,14.0741
-0.118687,-0.25,-1.00343,-0.996731,13.0057,14.2232
-0.113636,-0.25,-1.01363,-1.00675,13.8293,14.8937
-0.108586,-0.25,-1.04772,-1.04015,15.1835,16.2721
-0.103535,-0.25,-1.02476,-1.01651,16.309,17.3673
-0.0984849,-0.25,-1.04575,-1.03829,14.911,15.9815
-0.0934343,-0.25,-1.05734,-1.04892,16.8122,17.8516
-0.0883838,-0.25,-1.05341,-1.04526,16.1707,17.3859
-0.0833333,-0.25,-1.05441,-1.04519,17.9527,19.3231
-0.0782828,-0.25,-1.09085,-1.08237,16.5938,17.8702
-0.0732323,-0.25,-1.19488,-1.18577,17.9871,19.2374
-0.0681818,-0.25,-1.19013,-1.18138,17.1075,18.4365
-0.0631313,-0.25,-1.18318,-1.17436,17.5548,18.6115
-0.0580808,-0.25,-1.23336,-1.22394,18.5733,19.893
-0.0530303,-0.25,-1.31407,-1.30415,19.4642,20.8542
-0.0479798,-0.25,-1.3032,-1.29345,19.3234,20.5412
-0.0429293,-0.25,-1.26282,-1.25301,19.4183,20.6679
-0.0378788,-0.25,-1.26901,-1.25868,20.5146,21.711
-0.0328283,-0.25,-1.3218,-1.31154,20.2509,21.5862
-0.0277778,-0.25,-1.32258,-1.3121,20.7453,22.0221
-0.0227273,-0.25,-1.26215,-1.25062,22.6179,24.0908
-0.0176768,-0.25,-1.2533,-1.24199,22.2275,23.623
-0.0126263,-0.25,-1.29387,-1.28135,24.5008,26.0863
-0.00757576,-0.25,-1.23093,-1.21884,23.9505,25.2873
-0.00252525,-0.25,-1.23389,-1.22165,24.1397,25.4977
0.00252525,-0.25,-1.23687,-1.22403,25.1337,26.7643
0.00757576,-0.25,-1.19159,-1.17933,24.2798,25.6933
0.0126263,-0.25,-1.22543,-1.21262,25.1486,26.6395
0.0176768,-0.25,-1.24441,-1.23069,26.8552,28.4277
0.0227273,-0.25,-1.16306,-1.15002,25.642,27.1536
0.0277778,-0.25,-1.16694,-1.15318,26.8783,28.4873
0.0328283,-0.25,-1.16472,-1.1512,26.3978,28.0887
0.0378788,-0.25,-1.21724,-1.20386,26.1982,27.7348
0.0429293,-0.25,-1.17207,-1.15823,27.11,28.7406
0.0479798,-0.25,-1.19454,-1.18032,27.941,29.4223
0.0530303,-0.25,-1.18217,-1.16831,27.4913,28.8635
0.0580808,-0.25,-1.17624,-1.1614,28.9981,30.6517
0.0631313,-0.25,-1.22418,-1.20939,28.7099,30.6666
0.0681818,-0.25,-1.18836,-1.17364,28.6418,30.3388
0.0732323,-0.25,-1.22065,-1.20576,29.4301,30.8379
0.0782828,-0.25,-1.14007,-1.12545,28.9313,30.1599
0.0833333,-0.25,-1.1264,-1.11125,29.8045,31.2701
0.0883838,-0.25,-1.10386,-1.08939,28.4787,29.9811
0.0934343,-0.25,-1.02884,-1.01428,28.5313,30.2568
0.0984849,-0.25,-0.976418,-0.961475,29.6921,31.0838
0.103535,-0.25,-0.994541,-0.980034,28.7497,29.8172
0.108586,-0.25,-0.936655,-0.922032,28.6886,30.227
0.113636,-0.25,-0.933466,-0.918329,29.6703,31.2626
0.118687,-0.25,-0.93545,-0.920072,29.4585,31.2477
0.123737,-0.25,-0.839709,-0.824973,29.4609,30.5027
0.128788,-0.25,-0.834476,-0.819623,28.3578,30.7262
0.133838,-0.25,-0.778171,-0.763908,28.0379,29.549
0.138889,-0.25,-0.716174,-0.702023,28.1505,29.0424
0.143939,-0.25,-0.732678,-0.718325,27.898,29.1318
0.14899,-0.25,-0.726694,-0.712454,28.0499,29.7278
0.15404,-0.25,-0.674255,-0.659928,27.9744,29.1318
0.159091,-0.25,-0.666227,-0.651985,27.9973,29.1169
0.164141,-0.25,-0.622165,-0.608176,27.9354,28.953
0.169192,-0.25,-0.604697,-0.590324,28.4439,29.8619
0.174242,-0.25,-0.599265,-0.583977,29.7258,31.4563
0.179293,-0.25,-0.543994,-0.529066,28.9132,30.6517
0.184343,-0.25,-0.490246,-0.476152,27.2531,28.7294
0.189394,-0.25,-0.469502,-0.454739,28.871,30.2047
0.194444,-0.25,-0.439419,-0.424758,28.3441,29.9364
0.199495,-0.25,-0.40802,-0.393808,27.6577,29.2808
0.204545,-0.25,-0.355933,-0.342131,27.0153,28.1334
0.209596,-0.25,-0.284723,-0.270277,27.9176,29.6086
0.214646,-0.25,-0.247821,-0.233307,28.1908,29.847
0.219697,-0.25,-0.213635,-0.197545,30.527,32.5888
0.224747,-0.25,-0.0778513,-0.0618994,31.4985,32.4696
0.229798,-0.25,-0.0349524,-0.0180751,32.6485,34.3472
0.234848,-0.25,0.0367373,0.0562668,38.2759,39.2646
0.239899,-0.25,0.100051,0.119358,37.5042,39.2348
0.244949,-0.25,0.200302,0.220403,39.4171,40.5461
0.25,-0.25,0.298209,0.318661,40.4457,41.5146
-0.25,-0.244949,-0.439368,-0.432081,11.1574,15.0353
-0.244949,-0.244949,-0.388958,-0.383988,8.03698,10.2222
-0.239899,-0.244949,-0.397027,-0.392623,7.74092,9.34303
-0.234848,-0.244949,-0.351415,-0.347182,7.21299,8.53836
-0.229798,-0.244949,-0.418353,-0.413887,8.00496,9.28342
-0.224747,-0.244949,-0.369782,-0.365838,7.46792,8.367
-0.219697,-0.244949,-0.378822,-0.37495,7.05516,8.08388
-0.214646,-0.244949,-0.379939,-0.375487,8.18614,9.20147
-0.209596,-0.244949,-0.404914,-0.400998,7.39737,8.27014
-0.204545,-0.244949,-0.419533,-0.415236,8.13951,9.08226
-0.199495,-0.244949,-0.452558,-0.449508,6.43851,6.4671
-0.194444,-0.244949,-0.446678,-0.443138,6.97184,7.58469
-0.189394,-0.244949,-0.491833,-0.488341,6.5723,7.23451
-0.184343,-0.244949,-0.514027,-0.510216,7.22911,8.14348
-0.179293,-0.244949,-0.544017,-0.540063,7.57799,8.41171
-0.174242,-0.244949,-0.640721,-0.637419,6.75606,7.22706
-0.169192,-0.244949,-0.662615,-0.658885,7.1538,8.09133
-0.164141,-0.244949,-0.723707,-0.720538,6.48221,7.011
-0.159091,-0.244949,-0.753051,-0.74923,7.43726,8.28504
-0.15404,-0.244949,-0.780377,-0.776187,8.31504,9.0301
-0.14899,-0.244949,-0.789616,-0.786632,5.91137,6.44475
-0.143939,-0.244949,-0.812863,-0.809267,7.10116,7.66665
-0.138889,-0.244949,-0.852064,-0.849284,5.86391,6.13183
-0.133838,-0.244949,-0.843511,-0.839733,7.3187,7.97957
-0.128788,-0.244949,-0.912713,-0.909194,6.9734,7.51763
-0.123737,-0.244949,-0.910697,-0.907414,6.94386,7.27177
-0.118687,-0.244949,-0.937302,-0.933848,6.88779,7.44313
-0.113636,-0.244949,-0.942205,-0.938505,7.41051,7.89016
-0.108586,-0.244949,-1.01102,-1.00691,8.14981,8.66502
-0.103535,-0.244949,-1.02107,-1.01652,9.05787,9.73791
-0.0984849,-0.244949,-1.05951,-1.05555,7.86441,8.69483
-0.0934343,-0.244949,-1.07233,-1.06748,9.39388,10.2893
-0.0883838,-0.244949,-1.06413,-1.05965,8.98208,9.58145
-0.0833333,-0.244949,-1.10257,-1.09729,10.1635,10.9784
-0.0782828,-0.244949,-1.14077,-1.13605,9.20431,10.0806
-0.0732323,-0.244949,-1.24072,-1.2354,10.197,11.2057
-0.0681818,-0.244949,-1.2363,-1.23157,9.63901,10.0955
-0.0631313,-0.244949,-1.228,-1.22305,9.88608,10.5798
-0.0580808,-0.244949,-1.27848,-1.27297,10.7978,11.526
-0.0530303,-0.244949,-1.34365,-1.33761,11.7696,12.7032
